District Name,District Code,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary
Abby Kelley Foster Charter Public (District),04450000,  55.4,   2.9,  21.6,  14.3,   0.4,   0.1,   5.3,  46.6,  53.4,   0.0
Abington,00010000,   5.9,   2.5,  14.0,  74.9,   0.5,   0.1,   2.2,  51.0,  48.7,   0.3
Academy Of the Pacific Rim Charter Public (District),04120000,  64.9,   0.0,  26.6,   6.0,   0.0,   0.0,   2.6,  50.3,  49.7,   0.0
Acton-Boxborough,06000000,   3.0,  33.3,   7.9,  50.7,   0.1,   0.1,   5.0,  51.9,  47.7,   0.3
Acushnet,00030000,   1.3,   0.7,   5.5,  88.3,   0.6,   0.1,   3.4,  52.4,  47.5,   0.1
Advanced Math and Science Academy Charter (District),04300000,   2.8,  11.9,   8.5,  69.3,   0.0,   0.0,   7.6,  54.2,  45.0,   0.7
Agawam,00050000,   2.3,   3.8,  11.7,  79.1,   0.1,   0.0,   2.9,  52.2,  47.6,   0.3
Alma del Mar Charter School (District),04090000,  14.2,   0.5,  60.3,  20.2,   0.5,   0.0,   4.3,  46.7,  53.3,   0.0
Amesbury,00070000,   1.7,   1.0,  11.4,  81.5,   0.1,   0.1,   4.2,  51.8,  48.2,   0.0
Amherst,00080000,  11.2,  10.9,  23.7,  45.4,   0.4,   0.1,   8.3,  49.4,  49.7,   0.9
Amherst-Pelham,06050000,   7.6,   9.7,  18.1,  56.7,   0.0,   0.1,   7.8,  52.5,  46.0,   1.5
Andover,00090000,   2.5,  18.6,   9.2,  64.9,   0.2,   0.1,   4.5,  50.9,  49.0,   0.1
Argosy Collegiate Charter School (District),35090000,  14.6,   2.5,  25.7,  50.3,   0.5,   0.2,   6.1,  54.8,  45.2,   0.0
Arlington,00100000,   3.3,  12.6,   7.3,  68.1,   0.0,   0.1,   8.5,  49.9,  49.4,   0.7
Ashburnham-Westminster,06100000,   1.8,   1.0,   6.3,  87.7,   0.0,   0.0,   3.1,  50.5,  48.9,   0.7
Ashland,00140000,   3.0,  17.2,  17.7,  58.3,   0.4,   0.1,   3.3,  51.5,  48.4,   0.1
Assabet Valley Regional Vocational Technical,08010000,   2.1,   0.2,  24.7,  69.6,   0.2,   0.0,   3.2,  55.4,  43.6,   1.0
Athol-Royalston,06150000,   2.2,   1.5,  14.0,  78.9,   0.1,   0.0,   3.4,  53.6,  46.4,   0.0
Atlantis Charter (District),04910000,   6.3,   2.0,  17.8,  67.7,   0.0,   0.1,   6.0,  47.0,  52.8,   0.2
Attleboro,00160000,   8.7,   4.5,  17.1,  62.7,   0.3,   0.1,   6.6,  52.7,  47.1,   0.2
Auburn,00170000,   3.2,   4.7,  11.8,  76.9,   0.3,   0.1,   3.0,  51.3,  48.5,   0.2
Avon,00180000,  36.7,   3.7,  14.2,  38.6,   0.4,   0.0,   6.3,  51.2,  48.8,   0.0
Ayer Shirley School District,06160000,   5.4,   4.0,  12.7,  72.0,   0.8,   0.2,   4.9,  52.8,  47.1,   0.1
Barnstable,00200000,   8.9,   2.2,  27.3,  53.1,   0.3,   0.1,   8.1,  51.6,  48.2,   0.2
Baystate Academy Charter Public School (District),35020000,  28.9,   0.5,  64.4,   4.7,   0.0,   0.7,   0.7,  55.5,  44.5,   0.0
