District,Unmask week
Lincoln-Sudbury,March 10
Andover,March 10
Belmont,March 10
Carlisle,March 10
Concord,March 10
Lexington,March 10
Malden,March 10
Melrose,March 10
Milton,March 10
Needham,March 10
Newton,March 10
Sharon,March 10
Stoneham,March 10
Sudbury,March 10
Wakefield,March 10
Wayland,March 10
Ayer Shirley School District,March 10
Concord-Carlisle,March 10
Brookline,March 17
Cambridge,March 17
Lincoln,March 17
Medford,March 17
Randolph,March 17
Revere,March 17
Somerville,March 17
Braintree,March 3
Burlington,March 3
Canton,March 3
Cohasset,March 3
Dedham,March 3
Dover,March 3
Everett,March 3
Foxborough,March 3
Franklin,March 3
Hanover,March 3
Hingham,March 3
Holbrook,March 3
Hull,March 3
Lynnfield,March 3
Mansfield,March 3
Marshfield,March 3
Maynard,March 3
Medfield,March 3
Medway,March 3
Millis,March 3
Norfolk,March 3
North Reading,March 3
Norwell,March 3
Norwood,March 3
Quincy,March 3
Reading,March 3
Rockland,March 3
Saugus,March 3
Stoughton,March 3
Walpole,March 3
Waltham,March 3
Wellesley,March 3
Westwood,March 3
Weymouth,March 3
Wilmington,March 3
Winchester,March 3
Winthrop,March 3
Woburn,March 3
Wrentham,March 3
Acton-Boxborough,March 3
DoverSherborn,March 3
Groton-Dunstable,March 3
King Philip,March 3
Nashoba,March 3
Whitman-Hanson,March 3
Boston,Never
Chelsea,Never
