district,post_cases,unmasking_date,proportion
Acton-Boxborough,6357.418145,03-Mar,3.339705079
Braintree,5529.919056,03-Mar,7.012767898
Burlington,6319.421978,03-Mar,5.262229807
Canton,5087.817719,03-Mar,7.373197625
Cohasset,5764.78586,03-Mar,4.981132075
Dedham,5957.943925,03-Mar,5.294730392
Dover,9135.17725,03-Mar,2.686567164
Everett,5188.251771,03-Mar,11.0861453
Foxborough,5074.413751,03-Mar,6.896103896
Franklin,5058.962264,03-Mar,5.694055944
Groton-Dunstable,5186.418109,03-Mar,4.650834403
Hanover,7399.680089,03-Mar,7.320488722
Hingham,6382.003749,03-Mar,4.824412533
Holbrook,5275.694751,03-Mar,7.948160535
Hull,4686.064319,03-Mar,5.427015251
Lynnfield,7633.917019,03-Mar,6.24519774
Mansfield,4544.877491,03-Mar,6.899441341
Marshfield,4653.316356,03-Mar,6.384742952
Maynard,5871.612531,03-Mar,4.852700491
Medfield,7264.653641,03-Mar,3.605134474
Medway,5624.856509,03-Mar,5.100680272
Millis,5339.435545,03-Mar,4.80952381
Nashoba,4806.357413,03-Mar,5.638446215
Norfolk,4442.487793,03-Mar,5.255855856
North Reading,6664.26513,03-Mar,5.581081081
Norwell,6147.961564,03-Mar,5.631259484
Norwood,5545.824107,03-Mar,6.60727056
Quincy,5912.479932,03-Mar,5.577044811
Reading,6278.901734,03-Mar,5.271576525
Rockland,4422.088331,03-Mar,9.635
Saugus,5869.549954,03-Mar,9.572368421
Stoughton,5480.689331,03-Mar,7.997363217
Walpole,5000.959509,03-Mar,7.306983883
Waltham,7606.061974,03-Mar,4.356351405
Wellesley,9460.505503,03-Mar,2.516186411
Westwood,6389.928547,03-Mar,4.979765708
Weymouth,5493.351372,03-Mar,7.000324044
Whitman-Hanson,4132.608448,03-Mar,9.353265869
Wilmington,5094.031071,03-Mar,7.219903692
Winchester,9504.577275,03-Mar,3.179886686
Winthrop,7488.870045,03-Mar,6.453644728
Woburn,6128.838049,03-Mar,6.929666012
Wrentham,6432.437228,03-Mar,5.028965517
Andover,7373.003549,10-Mar,4.385483264
Ayer Shirley School District,4090.471607,10-Mar,8.836764706
Belmont,8416.94334,10-Mar,2.743823147
Carlisle,10946.43235,03-Mar,2.497098646
Concord,6774.865197,10-Mar,3.176516942
Lexington,8612.089202,10-Mar,2.36967632
Malden,6208.058651,10-Mar,6.642142857
Melrose,8072.027321,10-Mar,4.59957265
Milton,5795.387345,10-Mar,6.231092437
Needham,9940.480263,10-Mar,2.82071576
Newton,7394.481405,10-Mar,3.428908555
Sharon,7221.006565,10-Mar,3.815151515
Stoneham,7765.900108,10-Mar,5.803932909
Sudbury,7686.692869,10-Mar,3.03725347
Wakefield,6793.788957,10-Mar,5.923452769
Wayland,9774.549856,10-Mar,2.75619195
Brookline,8670.261251,17-Mar,2.282252316
Cambridge,19352.79358,17-Mar,1.768421538
Lincoln,3943.888697,17-Mar,3.119533528
Medford,9673.9685,17-Mar,4.040489963
Randolph,6115.337708,17-Mar,8.264957265
Revere,5875.199264,17-Mar,10.65314685
Somerville,12460.67208,17-Mar,2.715786123
Boston,8511.915585,Never,5.008341245
Chelsea,4065.767376,Never,15.30046636
