district,staff
Abby Kelley Foster Charter Public (District),        194.2
Abington,        280.6
Academy Of the Pacific Rim Charter Public (District),         94.9
Acton-Boxborough,        785.1
Acushnet,        121.6
Advanced Math and Science Academy Charter (District),        125.2
Agawam,        635.6
Alma del Mar Charter School (District),        148.0
Amesbury,        294.7
Amherst,        272.6
Amherst-Pelham,        251.4
Andover,        919.2
Argosy Collegiate Charter School (District),         75.5
Arlington,        890.7
Ashburnham-Westminster,        303.7
Ashland,        403.0
Assabet Valley Regional Vocational Technical,        166.5
Athol-Royalston,        213.3
Atlantis Charter (District),        195.5
Attleboro,        719.7
Auburn,        351.8
Avon,        109.1
Ayer Shirley School District,        267.0
Barnstable,        821.3
Baystate Academy Charter Public School (District),         66.0
Bedford,        439.2
Belchertown,        313.8
Bellingham,        347.5
Belmont,        520.3
Benjamin Banneker Charter Public (District),         52.6
Benjamin Franklin Classical Charter Public (District),        113.2
Berkley,        124.4
Berkshire Arts and Technology Charter Public (District),         68.9
Berkshire Hills,        224.9
Berlin-Boylston,        160.9
Beverly,        653.9
Billerica,        733.8
Blackstone Valley Regional Vocational Technical,        179.3
Blackstone-Millville,        222.5
Blue Hills Regional Vocational Technical,        117.5
Boston,"      8,457.5"
Boston Collegiate Charter (District),        125.1
Boston Day and Evening Academy Charter (District),         57.7
Boston Green Academy Horace Mann Charter School (District),         80.7
Boston Preparatory Charter Public (District),        118.5
Boston Renaissance Charter Public (District),        156.2
Bourne,        274.2
Boxford,        125.1
Braintree,        741.9
Brewster,         99.3
Bridge Boston Charter School (District),         92.5
Bridgewater-Raynham,        563.9
Brimfield,         46.8
Bristol County Agricultural,         59.9
Bristol-Plymouth Regional Vocational Technical,        152.7
Brockton,"      2,198.0"
Brooke Charter School (District),        310.9
Brookfield,         48.4
Brookline,"      1,299.4"
Burlington,        566.7
Cambridge,"      1,472.5"
Canton,        393.1
Cape Cod Lighthouse Charter (District),         34.1
Cape Cod Regional Vocational Technical,        106.8
Carlisle,        112.5
Carver,        218.3
Central Berkshire,        234.8
Chelmsford,        758.7
Chelsea,        866.0
Chesterfield-Goshen,         29.9
Chicopee,"      1,118.3"
Christa McAuliffe Charter Public (District),         65.8
City on a Hill Charter Public School (District),         46.6
Clarksburg,         33.0
Clinton,        283.2
Codman Academy Charter Public (District),         82.7
Cohasset,        227.8
Collegiate Charter School of Lowell (District),        101.8
Community Charter School of Cambridge (District),         67.2
Community Day Charter Public School - Gateway (District),         68.1
Community Day Charter Public School - Prospect (District),         61.0
Community Day Charter Public School - R. Kingman Webster (District),         62.7
Concord,        360.2
Concord-Carlisle,        199.5
Conservatory Lab Charter (District),         66.0
Conway,         41.9
Danvers,        490.8
Dartmouth,        440.2
Dedham,        473.5
Deerfield,         79.0
Dennis-Yarmouth,        511.6
Dighton-Rehoboth,        356.8
Douglas,        172.6
Dover,         89.2
Dover-Sherborn,        177.4
Dracut,        406.7
Dudley Street Neighborhood Charter School (District),         24.5
Dudley-Charlton Reg,        459.3
Duxbury,        362.4
East Bridgewater,        288.2
East Longmeadow,        373.9
Eastham,         38.3
Easthampton,        237.2
Easton,        462.4
Edgartown,         87.2
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),         61.9
Erving,         45.2
Essex North Shore Agricultural and Technical School District,        216.7
Everett,        783.2
Excel Academy Charter (District),        260.1
Fairhaven,        237.1
Fall River,"      1,458.8"
Falmouth,        550.1
Farmington River Reg,         28.8
Fitchburg,        690.4
Florida,         24.0
