City/Town,County,Population,Total Case Counts,Two Week Case Counts,Average Daily Rate,Color,Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week,Testing Rate,Report Date,Start_Date,End_Date
Abington,Plymouth,"18,224",772,193,75.6,Red,Higher,15154,1970,204,10.36%,Higher,10809.78,2020-12-24,2020-12-06,2020-12-19
Acton,Middlesex,"23,728",468,88,26.5,Yellow,Higher,22132,2413,101,4.19%,Higher,10169.51,2020-12-24,2020-12-06,2020-12-19
Acushnet,Bristol,"10,449",509,131,89.5,Red,Lower,10521,1511,158,10.46%,Higher,14460.32,2020-12-24,2020-12-06,2020-12-19
Adams,Berkshire,"8,227",110,21,18.2,Yellow,Lower,6729,765,22,2.88%,Lower,9298.16,2020-12-24,2020-12-06,2020-12-19
Agawam,Hampden,"28,496",1287,199,49.9,Red,Lower,32709,3582,226,6.31%,Lower,12570.11,2020-12-24,2020-12-06,2020-12-19
Alford,Berkshire,462,<5,0,0.0,Grey,No Change,147,11,0,0.00%,No Change,2379.75,2020-12-24,2020-12-06,2020-12-19
All of Massachusetts,Statewide,"6,964,383",322652,61603,63.2,,Lower,10399569,1170158,71906,6.14%,Higher,16802.03,2020-12-24,2020-12-06,2020-12-19
Amesbury,Essex,"16,598",554,127,54.7,Red,Lower,15329,1854,145,7.82%,Higher,11170.00,2020-12-24,2020-12-06,2020-12-19
Amherst,Hampshire,"40,259",769,120,21.3,Yellow,Lower,177814,6172,127,2.06%,Lower,15330.64,2020-12-24,2020-12-06,2020-12-19
Andover,Essex,"36,064",1285,258,51.1,Red,Lower,50911,5437,315,5.79%,Lower,15075.96,2020-12-24,2020-12-06,2020-12-19
Aquinnah,Dukes,261,<5,0,0.0,Grey,No Change,397,19,0,0.00%,No Change,7285.19,2020-12-24,2020-12-06,2020-12-19
Arlington,Middlesex,"45,827",897,162,25.3,Yellow,Lower,58303,7263,188,2.59%,Lower,15848.69,2020-12-24,2020-12-06,2020-12-19
